,Unnamed: 0,deltaG,fraction of absolute ddG below 0.2,fraction of absolute ddG below 0.4,fraction of absolute ddG below 0.6,fraction of absolute ddG below 0.8,fraction of absolute ddG below 1.0,fraction of ddG above -0.2,fraction of ddG above -0.4,fraction of ddG above -0.6,fraction of ddG above -0.8,fraction of ddG above 0,fraction of deltaG zero,higher-level coarse-grained structure,length of coarse-grained structure including exterior,length of higher-level coarse-grained structure,lower quartile ddG incl inf,median deltadeltaG,number of basepairs,structure,N,stacks
47,47,0.3487288158828929,0.3077683615819209,0.34150188323917136,0.36619585687382306,0.3939736346516007,0.4178436911487759,0.3174199623352166,0.3440677966101695,0.3665254237288136,0.3939736346516007,0.2891478342749529,0.05600000000000005,[][],9,4,2.384185791015625e-07,0.4000000953674317,6,..((((...))))..((..........)).,212494764221.632,2
48,48,0.5504032382441144,0.2696460573476703,0.2993279569892473,0.3222670250896057,0.3439516129032258,0.3637544802867384,0.291084229390681,0.3117383512544803,0.3292562724014337,0.3475582437275986,0.2676299283154122,0.008000000000000007,[][],10,4,0.10000038146972656,0.3000001907348633,8,.((((........))))((.((....)))),200930988109.568,3
49,49,0.5936599567919025,0.3079090617995517,0.3324047390329811,0.3522574447646494,0.3694524495677233,0.3868075568363753,0.3268331732308677,0.3441242395132885,0.3587576048671149,0.3739032981107909,0.3048350944604547,0.30600000000000005,[],10,2,0.0,0.0,9,.......(((.((((.((...))))))))),759177090068.168,3
50,50,0.6065040510299244,0.2258355916892502,0.24808039747064134,0.26601174345076783,0.2805103884372177,0.2923441734417344,0.2430442637759711,0.2573848238482385,0.27109304426377595,0.2823170731707317,0.2284101174345077,0.016000000000000014,[],11,2,0.5,0.09999990463256836,11,((((((..(((((...))))).)))).)).,507474698335.848,3
51,51,0.18799999296665196,0.2945497076023392,0.3248187134502924,0.3537076023391813,0.3837894736842105,0.4070409356725146,0.2953918128654971,0.3248187134502924,0.3537076023391813,0.3837894736842105,0.26530994152046783,0.05000000000000005,[][],11,4,2.384185791015625e-07,0.5,6,.((((........)).))...((.....)),1361911887.95,3
52,52,0.3902335328914051,0.2448218919556499,0.27803727294173153,0.30372729417315397,0.32852087756546355,0.3519226232602029,0.25954234489266337,0.2834394904458599,0.3058268459542345,0.3293229535267752,0.2334984666194857,0.05800000000000005,[][],11,4,0.2999999523162842,0.5,8,.((((..((....))))))((.....))..,26029265604.876,3
53,53,0.4712121206057536,0.2649350649350649,0.2979076479076479,0.32804232804232797,0.3529100529100529,0.3748677248677249,0.2856661856661857,0.3089706589706589,0.3331890331890332,0.3553391053391053,0.25733525733525736,0.07599999999999996,[][],12,4,0.19999998807907104,0.7000000476837158,6,((.((...)).))...((........))..,64936142693.268005,3
54,54,0.609475803261082,0.3226702508960573,0.35376344086021505,0.3782258064516129,0.4007392473118279,0.42072132616487457,0.34901433691756273,0.3707661290322581,0.3883064516129032,0.40716845878136204,0.3238575268817204,0.008000000000000007,[][],7,4,0.0,0.19999998807907104,7,.((((.......))))(((........))),6437609589886.944,2
55,55,0.636755652159636,0.4378736025553274,0.4882500570385581,0.5278804471822952,0.5624001825233859,0.5908966461327858,0.4822724161533196,0.5159936116814967,0.5437827971708875,0.571047227926078,0.4400638831850331,0.026000000000000027,[],4,2,0.0,0.20000000298023224,3,.................(((.......))),326824335720936.94,1
56,56,0.4607223422007959,0.14973664409330326,0.17918234261349386,0.1984198645598194,0.2166541259092049,0.236017055430148,0.16606471030850264,0.1872836719337848,0.20295961876097315,0.21886129922247305,0.1437421620265864,0.114,[],15,2,1.2000000476837158,1.200000286102295,9,.((.(((.((..((...))..)))))..)),15242792761.01,4
57,57,0.7502032601978721,0.23247515808491415,0.2668021680216802,0.2938121047877145,0.31546973803071365,0.3350271002710027,0.2684959349593496,0.2902664859981933,0.30864950316169826,0.32495483288166216,0.2452122854561879,0.016000000000000014,[],12,2,0.3000001907348633,0.5999999046325684,8,(((...(((.((.......)).))).))).,1842762153439.944,3
58,58,0.7007142839687212,0.32685185185185184,0.3553968253968254,0.3759259259259259,0.3932010582010582,0.4080952380952381,0.35822751322751323,0.3754232804232805,0.3884391534391534,0.40124338624338624,0.3396825396825397,0.16000000000000006,[],8,2,0.0,0.0,9,...(((((((((...)))))).))).....,11524211082999.719,2
